"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5560000","5829000","6037000","6179000","6369000","6457000","6452000","6720000","6690000","6710000","6747000","6995000","7045000","7165000","6815000","7186000","7494000","7560000","7684000","7887000","8355000","7481000","8385000","9119000","9343000","",
"Benin","BEN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","580000","516000","541000","575000","941000","1068000","1155000","853000","850000","845000","960000","975000","1010000","1027000","","","222000","232000","252000","265000","279000","292000","307000","322000","337000","",
"Burkina Faso","BFA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124000","131000","138000","160000","117000","126000","128000","150000","163000","222000","245000","264000","289000","272000","269000","274000","238000","237000","218000","191000","163000","152000","143000","144000","143000","",
"Bangladesh","BGD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156000","166000","182000","172000","173000","199000","207000","207000","245000","271000","208000","200000","289000","467000","267000","139000","157000","160000","104000","134000","126000","182000","237000","267000","323000","",
"Bulgaria","BGR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8005000","6811000","7543000","5240000","5056000","4922000","5104000","5563000","6241000","6982000","7282000","7499000","7726000","8533000","7873000","8374000","8713000","8867000","9192000","9409000","9317000","10604000","11596000","12368000","12552000","",
"Bahrain","BHR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2311000","1988000","2600000","2898000","3280000","3869000","4388000","4831000","4844000","5667000","6313000","7289000","7833000","8631000","8861000","11952000","6732000","8062000","9163000","10452000","9670000","10158000","11374000","12045000","11061000","",
"Bahamas, The","BHS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3239000","3416000","3446000","3348000","3648000","4204000","4183000","4406000","4594000","5004000","4779000","4731000","4601000","4394000","4645000","5255000","5588000","5940000","6151000","6320000","6112000","6265000","6136000","6622000","7250000","",
"Bosnia and Herzegovina","BIH","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115000","148000","147000","171000","139000","160000","165000","190000","217000","256000","306000","322000","311000","365000","392000","439000","529000","536000","678000","778000","923000","1053000","1198000","",
"Belarus","BLR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2030000","1852000","1907000","1729000","1816000","4738000","5276000","5283000","5262000","4872000","5674000","5877000","6130000","6242000","5375000","4386000","10935000","11060000","11502000","11832000","",
"Belize","BLZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342000","349000","305000","300000","340000","374000","385000","694000","999000","1329000","1037000","903000","880000","846000","941000","1054000","1106000","1028000","1022000","1289000","1299000","1391000","1441000","1697000","1674000","",
