"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Europe & Central Asia","ECS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600555148.078479","636958586.517331","674422531.380621","684813634.658084","695759137.572996","734616092.110147","703788945.584773","712450071.668573","725406046.724855","772402907.73377","803061672.21635","840964249.355016","869990503.7318","870954888.747384","841072569.562079","856173586.989781","904411098.948879","929785345.062981","964683666.056702","981440067.899437","1010743319.53255","1038921833.17937","1095570940.91058","1140489222.88875","1183445651.59356","",
"Ecuador","ECU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440000","494000","529000","511000","518000","627000","641000","683000","761000","819000","860000","841000","937000","1005000","968000","1047000","1141000","1272000","1364000","1695000","1676000","1569000","1806000","2535000","2108000","",
"Egypt, Arab Rep.","EGY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3133000","3896000","3961000","3454000","4797000","5506000","4648000","5192000","6044000","8104000","8608000","9083000","11091000","12835000","12536000","14731000","9845000","11532000","9464000","9878000","9328000","5399000","8292000","11346000","13026000","",
"Euro area","EMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","448120957.914376","456920094.132533","483689631.204852","488730506.369917","489759073.378042","478015161.906252","485769067.098471","508494434.967541","513787450.677895","532531225.564768","548378758.001446","564125526.923066","583438533.975619","610362150.047755","631498886.527501","","",
"Eritrea","ERI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000","417000","410000","188000","57000","70000","113000","101000","80000","87000","83000","78000","81000","70000","79000","84000","107000","129000","141000","119000","114000","142000","","","","",
"Spain","ESP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52460000","55077000","62415000","68068000","72040000","74580000","75564000","79313000","82326000","85981000","92563000","96152000","98907000","97670000","91899000","93744000","99187000","98128000","103231000","107144000","109834000","115561000","121717000","124456000","126170000","",
"Estonia","EST","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2111000","2444000","2618000","2909000","3181000","3310000","3230000","3253000","3378000","","","","","3828000","3834000","4369000","4907000","5007000","5737000","5804000","5696000","5942000","6145000","6033000","6103000","",
"Ethiopia","ETH","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000","109000","139000","112000","115000","136000","148000","156000","180000","184000","227000","330000","358000","383000","427000","468000","523000","597000","681000","770000","864000","871000","933000","849000","812000","",
"European Union","EUU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622871342.428816","655555461.383419","675856521.834567","707851009.503021","719974906.599304","713886624.247196","692671404.927533","705250735.587693","739701833.34002","756293169.534043","780872157.346365","806007533.627081","832208136.96025","866488537.263251","906805887.889693","934880666.110996","966435420.872104","",
"Fragile and conflict affected situations","FCS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10765834.6221223","11567238.4829428","10978637.3405149","11908732.3927541","12500227.5806909","13329949.6195664","14607271.60981","16446497.164041","17350162.9059565","19975986.0026483","20088164.7854596","21663574.546598","25383279.8501855","29047239.1280934","31567087.2070328","36919296.5718662","30416045.1248991","32472105.7294532","33260753.9404232","","","","","","","",
"Finland","FIN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779000","1724000","1832000","2644000","2454000","2714000","2826000","2875000","2601000","2840000","3140000","3375000","3519000","3583000","3423000","3670000","4192000","4226000","2797000","2731000","2622000","2789000","3180000","3224000","3290000","",
"Fiji","FJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","476000","534000","547000","499000","544000","434000","446000","461000","451000","513000","547000","","542000","627000","605000","692000","734000","741000","769000","781000","869000","963000","1027000","1058000","969000","",
"France","FRA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148263000","157551000","","","","","","","190282000","185829000","193882000","193319000","193571000","192369000","189826000","196595000","197522000","204410000","206599000","203302000","203042000","207274000","211998000","","",
"Faroe Islands","FRO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17600.0003814697","17200.0007629395","13399.9996185303","16100.0003814697","20500","15300.0001907349","19100.0003814697","18200.0007629395","19299.9992370605","19000","19100.0003814697","21100.0003814697","25700.0007629395","47500","44700.0007629395","35400.0015258789","38299.9992370605","42099.9984741211","35400.0015258789","31200.0007629395","29600.0003814697","","19200.0007629395","18000","",
"Gabon","GAB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","217000","247000","274000","262000","230000","236000","269000","234000","351000","526000","","","","","","","","","","","","","","","",
"United Kingdom","GBR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23537000","25163000","25515000","25745000","25394000","25209000","22835000","24180000","24715000","27755000","29970000","32713000","32778000","31888000","31072000","30398000","31886000","32221000","33567000","35337000","36792000","39129000","41080000","40283000","40857000","",
"Georgia","GEO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85000","117000","313000","317000","384000","387000","302000","298000","313000","368000","560000","983000","1052000","1290000","1500000","2032000","2712000","4106000","4954000","5004000","5256000","5393000","6483000","7203000","7726000","",
"Ghana","GHA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286000","305000","325000","348000","373000","399000","439000","483000","531000","584000","429000","497000","587000","698000","803000","931000","821000","903000","994000","825000","897000","","","","","",
"Gibraltar","GIB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","17000","23000","27000","33000","38000","43000","44000","45000","45000","46099.9984741211","30000","24000","","12399.9996185303","131000","96000","56000","33000","35000","63000","99000","","","",
"Gambia, The","GMB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45000","77000","85000","91000","96000","79000","57000","81000","89000","90000","108000","125000","143000","147000","142000","91000","106000","157000","171000","156000","449000","450000","522000","552000","619000","",
"Guinea-Bissau","GNB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7800.00019073486","","","","5000","11600.0003814697","15600.0003814697","18000","16000","22299.9992370605","36700.0007629395","35400.0015258789","35500","36099.9984741211","43799.9992370605","45200.0007629395","49500","55000","52400.0015258789","",
"Equatorial Guinea","GNQ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10712000","9782000","10588000","11364000","12606000","13567000","14678000","14918000","14785000","14268000","15938000","17284000","","","","","","","20112000","24272000","26114000","28071000","30161000","33072000","34005000","",
"Grenada","GRD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369000","386000","368000","392000","379000","316000","277000","271000","294000","370000","380000","342000","406000","428000","460000","445000","447000","370000","327000","387000","437000","474000","468000","529000","526000","",
"Greenland","GRL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563000","520000","576000","636000","823000","826000","835000","884000","880000","1182000","1316000","1502000","1628000","1715000","1311000","1384000","1434000","1491000","1516000","1739000","1865000","1906000","2120000","2406000","2560000","",
"Guam","GUM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362000","1373000","1382000","1137000","1162000","1287000","1159000","1059000","910000","1160000","1228000","1212000","1225000","1142000","1053000","1197000","1160000","1308000","1334000","1343000","1409000","1536000","1545000","1549000","1667000","",
"Guyana","GUY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106000","92000","76000","66000","75000","105000","99000","104000","101000","122000","117000","113000","134000","130000","141000","152000","157000","177000","200000","206000","207000","235000","247000","287000","315000","",
"High income","HIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","770866061.967393","809341479.481982","835084280.644807","845178217.147611","865133196.06701","908112949.261544","865066546.08971","861139379.606416","854332976.101495","920791091.84762","951248290.724958","1106699823.35347","1121282852.49662","1113268934.73309","1066766583.46851","1102884777.05709","1131303003.23205","1192829587.37594","1242153825.83293","1290890352.17964","1325229300.72659","1374168251.73032","1423422443.64913","1461393174.68516","1487396175.77873","",
"Hong Kong SAR, China","HKG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10200000","12974000","11273000","10160000","11328000","13059000","13725000","16566000","15537000","21811000","23359000","25251000","28169000","29507000","29591000","36030000","41921000","48615000","54299000","60839000","59308000","56655000","58472000","65148000","55913000","",
"Honduras","HND","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","310000","324000","428000","689000","672000","788000","887000","1026000","1118000","1136000","1309000","1561000","1589000","1965000","1852000","1903000","1857000","2082000","2093000","2228000","2144000","2323000","2315000","",
"Heavily indebted poor countries (HIPC)","HPC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5902095.5056985","6349405.76778203","6495317.76211494","7303585.98146012","7983721.28109259","8375419.59340664","9281669.35270534","9434962.16289201","10478902.4247971","11791107.1726141","13238621.0217308","14998905.1658918","15883719.1274913","16325163.2653976","17897007.2267236","19487567.5804952","20895802.2608465","21753357.4265662","22332226.8306475","24138394.0536405","25844799.6434317","27715295.7001568","30172426.8899472","","",
"Croatia","HRV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16100000","19085000","23660000","25499000","29215000","37226000","40129000","41737000","42857000","44974000","45762000","47733000","52271000","51336000","47573000","49006000","49969000","47185000","48345000","51168000","55858000","57587000","59238000","57668000","60021000","",
"Haiti","HTI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370000","400000","387000","393000","386000","445000","499000","482000","518000","385000","480000","558000","868000","758000","826000","793000","946000","959000","1064000","1127599.97558594","1190000","1153000","1262000","1333000","938000","",
"Hungary","HUN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39240000","39833000","37315000","33624000","28803000","31141000","30679000","31739000","31412000","33934000","36173000","38318000","39379000","39554000","40624000","39904000","41304000","43565000","43611000","45984000","48345000","52890000","54962000","57667000","61397000","",
"IBRD only","IBD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353800325.725194","378499777.728397","404340835.518672","410684463.98215","433438860.357883","464355687.889038","449523359.335749","457518360.790652","449390487.119757","515076537.682543","549009678.369048","564240796.064623","601409857.339208","609565361.825326","583790350.830958","613522333.805967","626071645.147058","647942871.965748","668823199.940988","677352994.526127","704645262.230119","726219990.3822","780972356.864057","817056600.091568","844994594.408097","",
"IDA & IBRD total","IBT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375013431.031105","402147687.899987","429578340.211151","437112740.86996","461412368.864595","494290124.294076","480202560.311239","490319099.820867","483154295.493862","554105346.338334","589500688.899431","608869891.425975","653388580.290474","664910051.169796","641076317.200314","676045523.576389","686294462.141133","712607996.970387","737145782.100463","749149892.442613","782103172.042801","803782503.913457","865281963.033055","913483020.506311","948013547.284833","",
"IDA total","IDA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15880943.3054669","18081828.4525434","19288222.7536495","20487748.6484706","21714287.6670356","23224398.7451338","24413057.7891027","26603203.8088201","27854601.5152296","32284857.4382132","33201612.7059381","37474373.8720663","44696099.1384563","48125449.054701","50701901.2991466","55782550.3259012","53959672.7869975","58626199.0178811","62420299.8766132","66367045.6243825","72390962.7708178","71814126.6865963","78430605.2746395","93659535.3508864","101793852.130086","",
"IDA blend","IDB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5829676.03652984","6492707.86042701","7282925.03419125","7992869.48713774","8050207.1448647","7834409.05123779","8280600.27864029","8213880.09510347","8820616.76414144","9726551.75622736","9734891.77916946","11546549.4916847","14997157.1482614","14678611.7721121","15705314.699402","16084000","14794000","15378000","14703638.6344713","15387603.2472939","17047471.1890463","16898087.3422519","","","","",
"Indonesia","IDN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4324000","5034000","5185000","4606000","4728000","5064000","5153000","5033000","4467000","5321000","5002000","4871000","5506000","6234000","6324000","7003000","7650000","8044000","8802000","9435000","10407000","11519000","14040000","15810000","16107000","",
"IDA only","IDX","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9898369.14145222","11446848.7918813","11789230.6789175","12219084.1836844","13448973.9338156","15298382.9246952","16027962.3009486","18393840.625526","19006490.6766299","22581461.2281557","23520189.1680458","25962804.8126097","29665427.7115539","33551555.3378745","35075020.8076211","39943070.3191031","39452476.2197303","43798747.5956942","48731058.9137042","52121539.591356","56521288.6710475","56088358.1276066","60897176.7079509","70833719.9412822","76844519.6247282","",
"Isle of Man","IMN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124000","2288000","2374000","2359000","2482000","2649000","2537000","2384000","2726000","3457000","3919000","4447000","5082000","5283000","5168000","5776000","6309000","6578000","6968000","13107000","13284000","14570000","15543000","17423000","17914000","",
"Not classified","INX","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4818000","5289000","5587000","6064000","6403000","6646000","6353000","6476000","6764000","6953000","7333000","8001000","8332000","8026000","7189000","7134000","7630000","7550000","8260000","8813000","9528000","10100000","10338000","10926000","10951000","",
"Iran, Islamic Rep.","IRN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452000","573000","764000","1008000","1321000","1342000","1402000","1585000","1546000","1659000","1889000","2735000","2219000","2034000","2116000","2938000","3354000","3834000","4769000","4968000","5237000","4942000","4867000","7295000","9107000","",
"Iraq","IRQ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61000","51000","15000","45000","30000","78000","127000","","","","","","","864000","1262000","1518000","1510000","1111000","892000","","","","","","","",
"Iceland","ISL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211000","223000","223000","255000","281000","328000","329000","315000","348000","405000","429000","477000","539000","561000","563000","559000","628000","765000","900000","1102000","1389000","1891000","2353000","2488000","2202000","",
"Israel","ISR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2530000","2360000","2295000","2200000","2566000","2672000","1219000","862099.975585938","","1505800.04882813","1916000","1834000","2294000","3034000","2740000","3444000","3362000","3520000","3540000","3251000","3109000","3070000","3863000","4389000","4905000","",
"Italy","ITA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55706000","59805000","57998000","58499000","59521000","62702000","60960000","63561000","63026000","58480000","59230000","66353000","70271000","70719000","71692000","73225000","75866000","76293000","76762000","77694000","81068000","84925000","89931000","93228601.5625","95399000","",
"Jamaica","JAM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1752000","1821000","1904000","1899000","2013000","2230000","2117000","2131000","2483000","2515000","2615000","3016000","2880000","2859000","2753000","2832000","3077000","3306000","3274000","3504000","3692000","3837000","4276000","4319000","4233000","",
"Jordan","JOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3277000","3164000","3068000","3438000","3231000","2700000","3034000","4677000","4600000","5587000","5817000","6573000","6529000","7100000","7085000","8078000","6813000","6314000","5389000","5327000","4809000","4236000","4565000","4922000","5361000","",
"Japan","JPN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3345000","3837000","4218000","4106000","4438000","4757000","4772000","5239000","5212000","6138000","6728000","7334000","8347000","8351000","6790000","8611000","6219000","8358000","10364000","13413000","19737000","24040000","28691000","31192000","31882000","",
"Kazakhstan","KAZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202000","284000","257000","394000","1683000","2693000","3678000","3237000","4291000","4365000","4707000","5311000","4117000","3774000","4097000","5685000","6163000","6841000","6333000","6430000","6509000","7701000","8789000","8515000","",
"Kenya","KEN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","974000","1003000","1001000","894000","969000","1037000","994000","1001000","1146000","1361000","1479000","1601000","1817000","1203000","1490000","1609000","1823000","1711000","1520000","1350000","1181000","1340000","1449000","2025000","2049000","",
"Kyrgyz Republic","KGZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290000","165000","173000","199000","183000","342000","398000","319000","766000","1656000","2379000","2451000","1224000","3025000","3393000","4134000","3791000","4000000","3853000","4568000","6947000","8508000","",
"Cambodia","KHM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000","260000","219000","287000","368000","466000","605000","787000","701000","1055000","1422000","1700000","2015000","2125000","2162000","2508000","2882000","3584000","4210000","4503000","4775000","5012000","5602000","6201000","6611000","",
"Kiribati","KIR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20299.9992370605","13399.9996185303","14500","119500","130100.006103516","63900.0015258789","50200.0007629395","10800.0001907349","32299.9992370605","","","","","","","8300.00019073486","8199.99980926514","7599.99990463257","7500","9000","12000","",
"St. Kitts and Nevis","KNA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","172000","194000","250000","226000","247000","334000","240000","247000","383000","365000","350000","379000","533000","548000","624000","723000","666000","695000","818000","1036000","1055000","1194000","1278000","1107000","",
"Korea, Rep.","KOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3753000","3684000","3908000","4250000","4660000","5322000","5147000","5347000","4753000","5818000","6023000","6155000","6448000","6891000","7818000","8798000","9795000","11140000","12176000","14202000","13232000","17242000","13336000","15347000","17503000","",
"Kuwait","KWT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1443000","1565000","1638000","1763000","1884000","1944000","2072000","2316000","2602000","3056000","3474000","3899000","4482000","4736000","5088000","5208000","5574000","5729000","6217000","6528000","6941000","7055000","7407000","8508000","8565000","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118759609.116126","122091619.871667","124222950.979313","128596768.74041","131143148.537439","135852472.487252","129631536.654968","128164683.08834","122614563.339003","132972759.430094","139293878.536285","136738000","135404000","136305000","130549000","128009000","124212000","126982000","129584000","136666599.975586","145821000","156330000","165093000","164605175.597947","165231233.608795","",
"Lao PDR","LAO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346000","403000","463000","500000","614000","737000","674000","736000","636000","895000","1095000","1215000","1624000","1737000","2008000","2513000","2724000","3330000","3779000","4159000","4684000","4239000","3869000","4186000","4791000","",
"Lebanon","LBN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450000","424000","558000","631000","673000","742000","837000","956000","1016000","1278000","1140000","1063000","1017000","1333000","1844000","2168000","1655000","1366000","1274000","1355000","1518000","1688000","1857000","1964000","1936000","",
"Liberia","LBR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1832000","1276000","913000","850000","965000","963000","953000","858000","958000","","","125000","106000","760000","","","","","","","","","","","","",
"St. Lucia","LCA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407000","422000","563000","629000","666000","727000","747000","648000","683000","791000","720000","670000","905000","925000","982000","984000","950000","889000","921000","987000","1031000","948000","1064000","1165000","1220000","",
"Latin America & Caribbean","LCN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140092253.160404","144211135.059783","147781555.844599","152443170.803697","154421744.148445","161344137.842191","155629695.231043","152946908.686941","148079418.836964","161109650.691282","167838543.354919","165381571.538288","164049415.90247","165004333.021047","158418000.399185","157334945.702939","155232839.542728","159169038.327976","162604211.810529","171230247.416713","182041193.413702","193554774.870654","202719237.692813","201521995.844666","201852567.05797","",
"Least developed countries: UN classification","LDC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5573482.00309164","6780741.02450331","7085834.62161142","7225413.96386882","8096912.62233463","8565514.59549873","8985153.76287686","9991864.35963725","9886452.22603018","11349692.079521","13194289.194085","14796722.4286274","17311748.9030451","18336402.4059506","18936267.3381357","20843524.1189393","23599037.4667541","26425771.7782499","29468424.7968535","32161212.3014829","34049200.3509374","33156098.9276708","35121503.4568649","39299842.5948526","41000895.3695198","",
"Low income","LIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5231439.157937","5894239.09742743","5799413.49397035","5717381.82113843","5913806.28544239","7070076.58000815","7573856.41269066","9991237.32119743","10117749.2438144","12719742.8146477","12825355.1911753","13608662.7137383","14084407.8812351","16746969.4537078","18227461.0497925","23014710.2785722","18949083.923595","","","","","","","","","",
"Liechtenstein","LIE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59000","56000","57000","59000","60000","61599.9984741211","56500","48700.0007629395","49000","48500","49799.9992370605","54900.0015258789","72800.0030517578","72900.0015258789","66500","64300.0030517578","67000","62400.0015258789","59599.9984741211","61299.9992370605","56700.0007629395","69099.9984741211","79300.0030517578","85300.0030517578","98099.9984741211","",
"Sri Lanka","LKA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","414000","315000","384000","409000","465000","445000","397000","457000","583000","681000","669000","689000","592000","526000","538000","766000","976000","1133000","1415000","1665000","1993000","2168000","2248000","2521000","2027000","",
"Lower middle income","LMC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38094443.8087184","42430615.1333936","53520681.326341","50669867.3408467","54112624.1758805","57424010.649825","57877747.1940191","60470575.019752","65207388.7247399","77675427.9616852","83592940.6545594","91044503.9614815","106658649.925015","114030309.757412","110658082.454698","119852083.66598","118557933.618758","128382601.354537","134592364.803658","132566858.18016","136846751.166875","138362430.238541","157039023.869875","181776270.9619","195888685.597107","",
"Low & middle income","LMY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270515490.339394","289250348.142569","311476892.729408","316722204.961573","337136128.853903","366666541.463065","372885186.741939","393425642.276766","383800271.147895","441757747.276873","473636992.637536","490304252.03448","528920285.691101","547828465.653413","534085091.464667","563166679.977719","569077896.059203","591011510.385759","609357413.853584","617073984.672633","640240197.100898","656485949.386775","712463284.030378","761857911.875624","793124861.202572","",
"Lesotho","LSO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209000","312000","313000","290000","308000","302000","295000","287000","329000","304000","304000","357000","300000","293000","344000","426000","398000","423000","433000","1079000","1082000","1196000","1137000","1173000","1142000","",
"Late-demographic dividend","LTE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208726880.638217","226458981.982878","237060589.313491","246545489.944528","266217659.662492","284253258.605209","271213960.01672","272906962.599466","267562909.20044","312413443.50084","331644843.456417","347355982.795684","369420014.56393","367075985.563594","353528962.134289","375168918.787281","394674498.454181","413361747.602807","430928983.189796","437115970.846172","460461683.614631","479145118.671706","508820312.733723","532235103.181661","549832276.924528","",
